업소명,카테고리,메뉴명,가격,설명,대표메뉴,이미지URL
더벤티 시흥배곧한라점,젠레스 존 제로,퍼플뱅쇼스파클링,4700,달콤한 청포도 풍미의 뱅쇼와 상큼한 과일들이 어우러진 퍼플 뱅쇼 스파클링(무알콜 에이드 음료),,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/7/2/cm5ihTc2KsF8aMgag-dubRpOOjoyrm4XZgjf2cpGbEESlceBwUsi7zk2Q8vjihzfjPYg1_94OiGYyP-8xNEkGRXpn7uC_sQ4v8GkX9ZkZNw=.jpg
더벤티 시흥배곧한라점,젠레스 존 제로,(아이스)우베흑임자폼라떼,4700,"선명한 보랏빛 컬러에 부드러운 단맛, 바닐라 풍미와 고소한 흑임자폼이 어우러진 우베 흑임자폼 라떼",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/7/2/jz_VEzy-Esz8jJcqYGVVS0gFtEChrzWMb7PC6Da1t3BZt9ud0CJFgjwlr3XM4QvyHbMISAbyDK51q_4Z43B7TPmNFF2dcrsojtlqYDa8_RY=.jpg
더벤티 시흥배곧한라점,젠레스 존 제로,(핫)우베흑임자폼라떼,4700,"선명한 보랏빛 컬러에 부드러운 단맛, 바닐라 풍미와 고소한 흑임자폼이 어우러진 우베 흑임자폼 라떼",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/7/2/hEzEZZcMgQoGoPdBNLaKxdwNjCHIMP26gUMrLmcW24qlFFHm0SkDZvKKOTAqaiurvvYQ7qUR2Wb2ui36z3rKi4VX7T44mIZHwC5Fd6U3hu0=.jpg
더벤티 시흥배곧한라점,신메뉴,체리레드불부스트,4800,체리의 새콤달콤함과 레드불의 강렬한 탄산감이 어우러진 에너지 드링크,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/6/2/6_rcZiMTUuxjNESJyBXJ1gmy1Kr61UdBg9EaKALuIO2lxi6AQCYEXZvFSuVEqmVvGEimd9LQNzXqxanKe5aJLR0OgEr61W2rS-yugTC1Pgk=.jpg
더벤티 시흥배곧한라점,신메뉴,청포도레드불부스트,4800,청포도의 달콤함과 레드불의 강렬한 탄산감이 어우러진 에너지 드링크,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/6/2/Z43PfkY-hF2SBmZnHlJAVFfW1SUJOcNGjvk64JZ9ZoSJkev42R_4AcFgtFUNa8uzC4_9TqnCOuQSXivPRu-A4XCtxwtdsnuQBxZs6fiokFM=.jpg
더벤티 시흥배곧한라점,신메뉴,레인보우레드불스무디,5000,"레인보우 과일의 상큼함에 레드불의 에너지를 더한, 활력 충전 스무디",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/6/2/QZC4AcWFz-qBS9W1FgfZL2d62pqMVZ1hxRud8eLOR7Z3mL8mUuuNWJ5b1Y36jtC-jQ9sGtnakioxrK1ImuPBUaYLyCE-w0ZRuHb1OOSaVUc=.jpg
더벤티 시흥배곧한라점,시즌,수박주스라지,4000,달콤하고 진한 풍미의 수박을 시원하게 즐길 수 있는 수박주스,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/15/8nf5OyFE9WzucJraT6dXVuPaUmgK8ut13FAMfmDPVPHIqbiaixbCQKW4JPvCqMebU1ZgvZvYv6kES6TAFCTwHSCSDK8j3iRP-4McVrNgrjU=.jpg
더벤티 시흥배곧한라점,시즌,수박주스점보,6200,달콤하고 진한 풍미의 수박을 시원하게 즐길 수 있는 수박주스,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/15/TI-aqpNActrvC4jjdx4IUPZ7SuiOpygGJtAdunj6vanHrHSjInc-ShzBuWPjmMgtur-5DSlMX_Ey0ZNkwxbZ0chZeXitz5lmKNRgDI_eLj8=.jpg
더벤티 시흥배곧한라점,시즌,수박파인스무디라지,4400,수박의 시원함과 파인애플의 상큼하고 달콤한 맛이 어우러진 스무디,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/15/198LtpxdrjOLPW43360gmOg6lBk1jQaGQWCoxvXwdo7qvyIs2MiVVMdKtS3RKNLMAFuqzBSBF4AmT43SDgqo6IzPDaZzcAhJT8UPsuune6Q=.jpg
더벤티 시흥배곧한라점,시즌,망고주스,4200,진한 망고의 달콤함과 상큼함을 담은 망고주스,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/15/lz97c5uuNWy2Hy31-IDLt17oXHKK3DLiKeAlV2JI6fiDd1Uuthw55HlPQA-CwlWgC1IM6q3XOkTe51cOiIbjsswFM0XcAc3JajLAEhp0hSI=.jpg
더벤티 시흥배곧한라점,시즌,망고요거라떼라지,4600,달콤한 망고 라떼에 상큼한 요거트 아이스크림과 망고 다이스 토핑을 더한 망고요거라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/4/15/YVOsOFI28Hg-gZMj0qi5jlvFvRoUkYUIH2iexm6UtQppNZLIsux5r__1ne6M7WVnvfC4nJHOF4oM2F1N4rpjIOpf6bn5RTZNHnw5a9JhpQI=.jpg
더벤티 시흥배곧한라점,커피,(아이스)아메리카노,2500,더벤티의 깊고 진한 커피풍미를 느낄 수 있는 아이스 아메리카노,O,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/3/5/rrtawYI_FqcEcKHjoTxBJa-ibhJDZ1wkg72aSPpsALIQ7NSB5Zhc-JMdmZKT4laYX_xHFL5YuVFK5tuQpc62m6Gq9NAwhmiCn0tGKc8I9rg=.jpg
더벤티 시흥배곧한라점,커피,(핫)아메리카노,2000,더벤티의 깊고 진한 커피풍미를 느낄 수 있는 핫 아메리카노,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/AtfkhxT7CSOiPMqJexZ99_R2QmAv421PZT8uEMIzOzgnuGgzk1CpvqXFW23nhR5kb9Y4QpYMfRtv3JNEiccdvhGSgOunzgnalWrWVObMmhM=.jpg
더벤티 시흥배곧한라점,커피,(아이스)카페라떼,3500,더벤티의 진한 에스프레소에 부드러운 우유가 어우러진 고소한 카페라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/qnyIoZOQ7WrKAmbXvX5AohxeGkOhf7GF7pVPA3sRpaG4z5oX742OuJ2VqXAcBIOdFjrD3LS2Z5BlZOPrCAULibU0a-LvE7bF-UK2UKdeD50=.jpg
더벤티 시흥배곧한라점,커피,(핫)카페라떼,3500,더벤티의 진한 에스프레소에 부드러운 우유가 어우러진 고소한 카페라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/LIX7GbqNWga7m0fxzcc1X73KKfJ9M3mFRKePa0-K-6wGD6ntAfCVaerphaBmXfenp7kPpLQ4pMTxU-aEGpmVy4BaYZCYwi5j5v6-w-IflIo=.jpg
더벤티 시흥배곧한라점,커피,(아이스)시그니처딥라떼,4300,깊고 더 고소한 더벤티만의 시그니처 베이스로 완성한 카페 라떼,O,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/5/29/OR6GbMz61RfXQinZB9GsEXotfY9LbiO47os4JjieFqsz9z_Iwte5Y8Kcp-EDwwoK6HjP3bwTqCIX6ykcG--SgNER0xjQKAs0vG5MwgNqPsE=.jpg
더벤티 시흥배곧한라점,커피,(핫)시그니처딥라떼,4300,깊고 더 고소한 더벤티만의 시그니처 베이스로 완성한 카페 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/5/29/XD4p4w86W1j4NY-qnsHTWfvWN2XVe03GuhKsuxdJLXZY6WH360f6C8TG9mSTcxBMjx4PNBNE55Yy48YPZWV1NJNNvfo69q-uO6M-ZpYeuzA=.jpg
